throughput_dl_mbps,throughput_ul_mbps,radio_resource_utilization_percent,available_prbs_dl,available_prbs_ul,num_active_ues
1123.6829025302027,812.966407174427,58.00602885854615,25,25,10
2852.1478477991077,678.5741755877799,58.30806148001347,25,50,11
2196.008626040034,889.0860092550449,78.37487227562355,25,25,93
1796.01558674269,449.39112582949053,83.53277760019667,25,25,42
468.14031946326537,893.9003737459193,40.34758978276034,50,25,22
468.06796155657435,865.7875449438399,82.14059958177616,25,50,74
174.34502814338157,438.4654914260337,83.27881060078701,25,25,60
2598.541819710228,381.20520096144935,31.071307682672142,25,25,42
1803.3849237284521,932.8187337687598,74.52556707850444,50,50,12
2124.2469261303568,715.1932180649839,26.788052965254252,25,25,69
61.85142443797776,928.2525219034319,18.374420168931632,25,25,92
2909.7325655007667,796.9950814179234,61.70887108452049,50,25,53
2497.3446781371854,609.3365095474852,91.77869789050591,25,25,14
637.0960981237607,115.94119172606412,13.191312117318692,25,50,56
545.5567191245812,291.55152451184057,84.38514738354296,50,25,52
550.2951891093162,968.8455228576817,55.5824089633156,50,25,56
912.7963046543173,319.4901565043331,87.4805903849107,50,50,15
1574.3168192535502,93.34554429839224,85.91292416539422,50,50,69
1295.891861424483,707.5826005837279,88.77581243346597,25,50,45
873.758297680106,734.0308541182299,79.1986559326006,50,25,46
1835.597498877666,285.52917451512207,85.86931190922955,50,50,86
418.5676325700603,297.7422121483691,25.842268648108327,50,25,85
876.504731140801,468.946096210233,37.34678339874475,50,50,15
1099.1488936967457,21.886770867279314,31.823755372656677,25,50,39
1368.264345652686,789.3440780601275,76.81854733552544,25,25,19
2355.5493665829013,317.1570783953982,23.827880743042233,25,25,37
599.1013790968634,853.7777256917774,26.400501134000972,25,50,15
1542.7518917969935,802.6501585578737,89.10682486497483,25,25,82
1777.2844651292412,661.4358929154712,73.52939736215544,25,50,33
139.44659311872118,324.9423796125788,88.78419801271781,50,50,61
1822.673801219125,516.3649300050039,22.541973243462145,25,25,91
511.6553186495059,444.8847746721992,45.90823641051721,50,50,77
195.24827379654002,338.9479980600494,35.48360530686858,25,50,54
2846.6617232062745,848.1514756742479,10.871297675168455,25,25,96
2896.8995360203708,483.55872387020753,35.60706643948362,50,25,36
2425.2112046145717,832.7398254873667,44.16249267800915,25,50,77
913.9108461431948,105.30795229441009,18.299767351844068,25,50,22
293.10657480775103,141.1106861214757,60.98388020441378,50,50,84
2052.7306562338194,977.3225730824654,44.48553962253698,25,50,84
1320.51346596943,587.809685759829,14.18154960497909,25,50,28
366.202500710852,509.8186965316991,73.35809783811791,25,50,42
1485.5812126427993,523.2037475377973,75.63518504569932,50,50,87
103.26212449354367,215.34724715545653,85.10242986724914,50,50,22
2727.9702741961382,718.7320791070229,53.69865398802843,25,25,16
776.4140668018908,84.87214566738139,97.17929176010588,50,25,42
1987.6006008335105,573.3663807317129,92.26577300792108,50,50,41
935.202057160624,570.8117197062428,59.62164625901184,50,25,54
1560.2520567313147,914.1970052910976,50.04567379624755,25,25,65
1640.1761670019046,526.2301918238499,10.273098511263058,50,50,81
554.6448811310286,137.1489897045821,73.98950785653105,25,25,55
2908.756924830899,572.7959839222377,60.845905364472195,50,25,28
2325.4209568010074,91.41851160089583,94.37897309374726,25,25,43
2818.502874798411,203.87345591639166,63.480891271711975,25,25,72
2684.492568547904,31.205473328997392,99.35704845034569,50,25,79
1793.7401464353743,513.3422531012524,86.84373446769614,50,50,63
2765.630517645848,84.624162032043,95.82381422334578,25,50,64
265.5686569055533,469.4474390934759,39.4896494156535,25,25,59
588.0289889711937,932.9517408206117,23.44023952905398,50,50,74
135.77734400272314,719.7894368780301,81.71849024156128,50,25,54
976.0584592567168,77.50393305787051,80.75773926722192,25,25,39
1166.093001339477,224.28739122762227,29.030404546500687,50,50,88
814.1199604185103,673.6950536514449,78.82701887214215,50,25,82
2486.229653704873,894.7123908380813,62.377602223726555,50,25,70
1070.3243047480985,33.015294905277365,19.857263041150567,25,25,68
842.8754356111735,812.4698866074219,55.16052378131879,25,50,11
1628.1339798664296,561.8576989502749,93.80242007548107,25,50,39
422.8585825017905,546.136716163863,55.58117909007059,25,50,55
2406.6107225640435,957.8174014350826,80.98290905981248,50,50,77
223.7444759749445,747.6698481355133,12.601898797776089,50,25,28
2960.662121107892,850.1338561693063,75.52732715763342,25,50,93
2316.7570834130424,354.06016998771224,95.21536475237295,25,50,14
596.2271730343639,554.408604424327,54.95750064036422,25,25,82
16.66579915909484,615.4441368600279,40.39389217230277,50,50,93
2446.402739221657,321.65178196842885,68.19854543982075,25,25,66
2120.6013458084667,570.2911001349048,92.46350935838974,50,25,72
2187.048603406158,236.73171394176583,25.909268548000863,25,25,61
2313.8339130231684,143.46133350113274,46.33247890204388,50,50,68
222.22655073709768,374.03286225140494,24.066125288365704,50,25,69
1075.4613390599634,739.3156997835623,54.69888089979035,50,50,89
347.6955916694367,916.1955293590802,58.637981172750315,25,50,93
2589.323967284193,457.7682800930827,94.97832532494941,25,50,29
1869.932050669991,642.8594059066041,47.126363839086466,25,25,99
992.7609847554623,103.12682726200296,61.02609521857285,25,25,42
190.7686950230423,904.4733121764735,89.67363166487371,25,50,21
933.0158669148151,568.6473531485774,38.926450015854286,50,50,30
975.6174477480386,780.3602138003945,70.6747482070831,50,25,65
2188.845574396358,794.4617568013017,78.14456639398868,25,25,32
1912.708658318504,256.5548783154691,39.74754112183085,25,25,29
2661.649506454722,529.2215357365313,24.790706697758004,50,25,96
1416.6975539933317,960.4837035858213,55.2618587712046,50,25,58
358.87077839031133,89.7255813663457,42.11215571199715,25,50,56
2139.763037190263,683.0815930397605,33.98161886129925,25,50,79
2282.3790673458307,962.2678516273685,97.60791796246944,25,50,54
1683.8754649887317,300.6470503432168,55.19377168313799,25,25,85
2312.9244431456873,861.4617766122077,87.08299244590813,50,25,44
1481.4374095335359,933.6641796537308,27.578566948902324,25,50,81
1568.2462148630439,747.1115007738856,94.54984884092175,50,50,36
1282.680300973813,231.40517947572758,81.49882911121196,25,25,89
76.35483831961115,334.0673187547112,82.78229405702281,50,25,56
323.7634918372141,35.90571348828896,45.07883876763358,25,50,41
94.38441414163408,831.4700889219307,53.707329376991765,25,50,38
1909.2675927502148,849.6262253924289,63.40188933088121,50,50,80
943.1365076308724,632.7470389351961,81.07889825845582,50,25,89
1525.7612164249917,352.59259847872494,86.41510768543938,50,25,62
2722.7086651308864,76.90334653715654,17.0240778416741,50,50,65
747.95175822371,753.0823041539179,91.3656148779857,25,25,98
1231.2077308145856,726.5535409905619,94.37469872538348,50,50,52
2266.6778605152917,912.6112614867271,63.3598663921107,25,50,13
686.4716166583182,730.5589678032617,26.807555192941535,25,25,73
231.0320314953961,828.7120727497775,83.65733494331405,25,50,96
869.3253835960128,745.9800224422091,59.3728853094639,25,50,32
483.7477396332879,630.7241195934852,83.54768083447416,25,50,69
2789.099987262485,427.02369755159015,83.33273139303849,25,50,39
2424.3803266552945,902.1270969114136,17.80563841172132,50,25,52
1900.2479291556194,651.0034750502791,64.63192855335977,25,25,97
2614.3946245041343,398.4154864337125,53.482986934184915,25,50,57
2411.0358634896534,83.56094825243902,95.1507522999566,50,50,89
559.791519652219,290.7757854187917,36.69771627328567,25,25,16
2677.6877395700844,543.7723621566818,28.54000955718325,50,25,96
1618.0727915227606,275.7078064791929,90.73781704172393,25,50,40
2422.339721476671,221.3132243831103,23.384401201009425,25,50,28
2688.284290640487,527.4407747364384,71.78675128520155,50,50,61
954.0786245680945,169.903363861145,37.00178324576298,50,25,77
330.2447683905775,800.430022318771,61.10611799477299,25,25,15
683.8826941095709,484.41971452752375,65.45974895571351,50,25,92
1281.3806550999063,573.9053876852539,47.56323537621701,25,25,69
2454.062496290887,147.4685292705888,97.74684822133862,50,25,21
2582.2056767107047,324.6438779958045,21.864985127648122,50,25,47
20.955696380518994,410.1486742928268,45.22591801330813,25,25,22
1532.2908330024393,808.2320092334513,48.735579418688424,50,25,37
1252.291268346022,770.182507133844,66.79422540965633,25,25,14
666.4012206311437,223.0551770402026,46.65337823750672,25,25,55
359.6841154643151,616.217463698847,18.733241023494692,50,50,55
1012.9117526937436,243.53201213622037,95.26869983627435,50,25,90
2828.734820767166,988.2483309746764,47.44711734748171,25,25,36
969.6764757690637,952.1286657430576,40.840635449536535,50,50,35
1556.419986167924,563.3083940485684,50.204991175660425,25,50,71
2109.086574789644,698.9326816369536,29.493611391603018,50,50,77
1090.9524441776439,801.4502391704242,19.01995162017858,50,25,81
2915.34906995461,721.0263202028995,23.37206311979763,50,25,99
2887.3456400968394,699.8587082133126,24.998934430320364,50,25,21
